#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Elapsed Time (s)","Time Remaining"
20.0%,100,0.20000000000000015,0.0,8.0,0.008291901831932602,0,0.0002486705780029297,--
40.0%,200,0.4000000000000003,0.0,8.0,0.008291901831932602,41.6,0.41519713401794434,0:01
60.0%,300,0.6000000000000004,0.0,8.0,0.008291901831932602,41.7,0.8293139934539795,0:00
80.0%,400,0.8000000000000006,0.0,8.0,0.008291901831932602,41.6,1.2455549240112305,0:00
100.0%,500,1.0000000000000007,0.0,8.0,0.008291901831932602,41.5,1.6645770072937012,0:00
