#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.20000000000000015,0.0,14.237331096358862
200,0.4000000000000003,0.0,28.96105359542412
300,0.6000000000000004,0.0,38.110048563088505
400,0.8000000000000006,0.0,436.6103299279608
500,1.0000000000000007,0.0,144.74161275913602
