#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
100,0.20000000000000015,0.0,122.91952176649751
200,0.4000000000000003,0.0,311.5163964940517
300,0.6000000000000004,0.0,77.93554232540893
400,0.8000000000000006,0.0,103.4118606106299
500,1.0000000000000007,0.0,193.90830321658714
